id,first_name,last_name,full_name,team,position,status,hashtag,gsis_id,sleeper_id,sportradar_id,stats_id,swish_id,yahoo_id,rotowire_id,rotoworld_id,espn_id,fantasy_data_id
305,Sandro,Platzgummer,Sandro Platzgummer,NYG,RB,Active,#sandroplatzgummer-NFL-NYG-34,,7412,a75efc5b-a4fc-4da4-8684-d170a0c40b81,,1215108,33188,14949,,4683485,22395
306,Andy,Isabella,Andy Isabella,BAL,WR,Active,#andyisabella-NFL-BAL-0, 00-0035527,5915,04f9a4be-b236-4eed-9bc4-794f615ccd13,878911,878911,31894,13612,14019,3914328,20820
307,Avery,Williams,Avery Williams,ATL,RB,Active,#averywilliams-NFL-ATL-35,,7809,6b2ee61f-463f-478a-9bfa-e43c8e9b0c2e,,944379,,15294,,,
308,Kyler,Murray,Kyler Murray,ARI,QB,Active,#kylermurray-NFL-ARI-1, 00-0035228,5849,dd5a6b6e-ffae-45a5-b8e6-718a9251f374,879799,879799,31833,13613,13950,3917315,20889
309,Greg,Dulcich,Greg Dulcich,DEN,TE,Inactive,#gregdulcich-NFL-DEN-80,,8172,b9e4a022-d15c-4cef-9879-170277f17207,,1128085,,15891,,,
310,C.J.,Board,C.J. Board,ARI,WR,Active,#cjboard-NFL-ARI-81,00-0033367,4344,8db3a609-73f4-4797-ae22-8adf024d473c,695408,695408,30513,12443,,2973626,19200
311,Deshaun,Watson,Deshaun Watson,CLE,QB,Inactive,#deshaunwatson-NFL-CLE-4,00-0033537,4017,eec5265c-7731-4bb6-8af2-4f98a67f9ab7,828743,828743,30125,11712,12151,3122840,18857
312,Drew,Lock,Drew Lock,SEA,QB,Active,#drewlock-NFL-SEA-2, 00-0035704,5854,94325301-e0ad-4a9f-a0e5-ffec0f529be3,882345,882345,31874,13736,13992,3924327,20859
313,Bailey,Gaither,Bailey Gaither,BAL,WR,Active,#baileygaither-NFL-BAL-82,,7885,b840b0d6-5920-4cc3-95a7-99e66bc839aa,,881756,,15538,,,
314,Mack,Hollins,Mack Hollins,LV,WR,Active,#mackhollins-NFL-LV-10,00-0033555,4177,93cb5790-1012-4c42-bccb-5748c27ba7d6,702808,702808,30231,11861,12349,2991662,19023
315,Kerrith,Whyte,Kerrith Whyte,GB,RB,Active,#kerrithwhyte-NFL-GB-34, 00-0035596,6175,0a040f48-4fa1-479d-ae9d-3ab1457539ee,866446,866446,32054,13454,14283,3919104,20982
316,Matthew,Stafford,Matthew Stafford,LAR,QB,Active,#matthewstafford-NFL-LAR-9,00-0026498,421,ade43b1a-0601-4672-83b6-d246bc066a19,323205,323205,9265,5971,5132,12483,9038
317,Mecole,Hardman,Mecole Hardman,KC,WR,Active,#mecolehardman-NFL-KC-17, 00-0035140,5917,fe6dc768-d576-476c-b150-53b85af2a1d1,922026,922026,31888,13532,13973,4035004,20788
318,Jalen,Nailor,Jalen Nailor,MIN,WR,Active,#jalennailor-NFL-MIN-83,,8180,3f9e3634-54d7-46a4-bf26-67274500c907,,1126817,,16025,,,
319,Lil'Jordan,Humphrey,Lil'Jordan Humphrey,NE,WR,Active,#liljordanhumphrey-NFL-NE-83, 00-0035406,5938,b7f930af-ddd2-4a48-9617-96bda81b0334,920758,920758,32494,13565,,4039057,20816
320,Evan,Engram,Evan Engram,JAX,TE,Active,#evanengram-NFL-JAX-17,00-0033881,4066,e21365af-8d66-416e-b0a5-8816d18fcfd9,749185,749185,30136,11805,12205,3051876,18912
321,Jordan,Love,Jordan Love,GB,QB,Active,#jordanlove-NFL-GB-10,,6804,e5094779-e94f-4052-8597-bdbee3719f6b,,912137,32696,14371,,4036378,21841
322,Jake,Tonges,Jake Tonges,CHI,TE,Active,#jaketonges-NFL-CHI-81,,8698,8d9236c0-ce09-11ec-9598-03840dd5f387,,1068872,,16418,,,
